COUNT_time,drivinstage,turn,omega,hsv.val,distance,gyro_deg
548,0,-60,-4,36,255,-1
552,0,-60,-4,36,255,-1
556,0,-60,-4,36,255,-1
560,0,-60,-4,36,255,-1
564,0,-60,-5,36,255,-1
568,0,-60,-5,36,255,-1
572,0,-60,-6,36,255,-1
576,0,-60,-6,36,255,-1
580,0,-60,-6,36,255,-1
584,0,-54,-7,35,255,-1
588,0,-56,-7,35,255,-1
592,0,-56,-8,35,255,0
596,0,-56,-8,35,255,0
600,0,-56,-8,35,255,0
604,0,-51,-8,34,255,0
608,0,-52,-8,34,255,0
612,0,-47,-9,33,255,0
616,0,-49,-9,33,255,0
620,0,-49,-9,33,255,0
624,0,-43,-10,32,255,0
628,0,-45,-10,32,255,0
632,0,-34,-11,30,255,0
636,0,-37,-11,30,255,0
640,0,-37,-11,30,255,0
644,0,-37,-12,30,255,0
648,0,-37,-12,30,255,0
652,0,-27,-12,28,255,0
656,0,-30,-12,28,255,0
660,0,-30,-12,28,255,0
664,0,-25,-12,27,255,0
668,0,-26,-12,27,255,0
672,0,-21,-13,26,255,0
676,0,-22,-13,26,255,0
680,0,-22,-13,26,255,0
684,0,-17,-13,25,255,0
688,0,-19,-13,25,255,0
692,0,-13,-14,24,255,0
696,0,-15,-14,24,255,0
700,0,-15,-14,24,255,0
704,0,-9,-14,23,255,0
708,0,-11,-14,23,255,0
712,0,-6,-15,22,255,0
716,0,-7,-15,22,255,0
720,0,-7,-15,22,255,0
724,0,2,-15,20,255,-1
728,0,0,-15,20,255,-1
732,100,10,-15,18,255,-1
736,100,7,-15,18,255,-1
740,100,7,-15,18,255,-1
744,100,12,0,17,255,-1
748,0,10,0,17,255,-1
752,0,16,0,16,255,-1
756,0,14,0,16,255,-1
760,0,14,0,16,255,-1
764,0,14,0,16,255,-1
768,0,14,0,16,255,-1
772,0,20,0,15,255,-1
776,0,18,0,15,255,-1
780,0,18,0,15,255,-1
784,0,18,0,15,255,-1
788,0,18,0,15,255,-1
792,0,23,0,14,255,-1
796,0,22,0,14,255,-1
800,0,22,0,14,255,-1
804,0,22,0,14,255,-1
808,0,22,0,14,255,-1
812,0,27,0,13,255,-1
816,0,26,0,13,255,-1
820,0,26,0,13,255,-1
824,0,26,0,13,255,-1
828,0,26,0,13,255,-1
832,0,31,0,12,255,-1
836,0,29,0,12,255,-1
840,0,30,0,12,255,-1
844,0,30,1,12,255,0
848,0,30,1,12,255,0
852,0,30,1,12,255,0
856,0,30,1,12,255,0
860,0,30,1,12,255,0
864,0,30,2,12,255,0
868,0,30,2,12,255,0
872,0,30,2,12,255,0
876,0,30,2,12,255,0
880,0,30,2,12,255,0
884,0,30,2,12,255,0
888,0,30,2,12,255,0
892,0,30,3,12,255,0
896,0,30,3,12,255,0
900,0,30,3,12,255,0
904,0,30,3,12,255,0
908,0,30,3,12,255,0
912,0,30,4,12,255,0
916,0,30,4,12,255,0
920,0,30,4,12,255,0
924,0,30,4,12,255,0
928,0,30,4,12,255,0
932,0,19,4,14,255,0
936,0,22,4,14,255,0
940,0,22,4,14,255,0
944,0,22,5,14,255,0
948,0,22,5,14,255,0
952,0,17,5,15,255,0
956,0,18,5,15,255,0
960,0,18,5,15,255,0
964,0,18,6,15,255,0
968,0,18,6,15,255,0
972,0,13,6,16,255,0
976,0,15,6,16,255,0
